dia,mes,referencia,texto,traducao
1,Janeiro,João 3:16,"Porque Deus amou o mundo de tal maneira que deu o seu Filho unigênito; para que todo o que nele crer não pereça; mas tenha a vida eterna.",NVI
2,Janeiro,Salmos 23:1,"O Senhor é o meu pastor; nada me faltará.",NVI
3,Janeiro,Jeremias 29:11,"Porque sou eu que conheço os planos que tenho para vocês; diz o Senhor; planos de fazê-los prosperar e não de causar dano; planos de dar a vocês esperança e um futuro.",NVI
4,Janeiro,Filipenses 4:13,"Tudo posso naquele que me fortalece.",NVI
5,Janeiro,Romanos 8:28,"Sabemos que Deus age em todas as coisas para o bem daqueles que o amam; dos que foram chamados de acordo com o seu propósito.",NVI
6,Janeiro,Isaías 40:31,"Mas os que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos; andam e não se cansam.",NVI
7,Janeiro,Josué 1:9,"Não fui eu quem ordenei a você? Seja forte e corajoso! Não se apavore nem desanime; pois o Senhor; o seu Deus; estará com você por onde você andar.",NVI
8,Janeiro,Provérbios 3:5-6,"Confie no Senhor de todo o seu coração e não se apoie em seu próprio entendimento; reconheça o Senhor em todos os seus caminhos; e ele endireitará as suas veredas.",NVI
9,Janeiro,Mateus 11:28,"Venham a mim; todos os que estão cansados e sobrecarregados; e eu lhes darei descanso.",NVI
10,Janeiro,Gênesis 1:1,"No princípio; Deus criou os céus e a terra.",NVI
11,Janeiro,Salmos 119:105,"A tua palavra é lâmpada que ilumina os meus pés e luz que clareia o meu caminho.",NVI
12,Janeiro,João 14:6,"Respondeu Jesus: Eu sou o caminho; a verdade e a vida. Ninguém vem ao Pai; a não ser por mim.",NVI
13,Janeiro,Gálatas 5:22-23,"O fruto do Espírito é: amor; alegria; paz; paciência; amabilidade; bondade; fidelidade; mansidão e domínio próprio.",NVI
14,Janeiro,Hebreus 11:1,"Ora; fé é a certeza daquilo que esperamos e a prova das coisas que não vemos.",NVI
15,Janeiro,Salmos 46:1,"Deus é o nosso refúgio e fortaleza; socorro bem-provado nas tribulações.",NVI
16,Janeiro,Romanos 8:1,"Portanto; agora já não há condenação alguma para os que estão em Cristo Jesus.",NVI
17,Janeiro,Efésios 2:8-9,"Pois vocês são salvos pela graça; por meio da fé; e isso não vem de vocês; é dom de Deus; não por obras; para que ninguém se glorie.",NVI
18,Janeiro,2 Coríntios 5:17,"Se alguém está em Cristo; é nova criatura. As coisas antigas já passaram; eis que surgiram coisas novas!",NVI
19,Janeiro,Lucas 6:31,"Façam aos outros o que vocês gostariam que eles fizessem a vocês.",NVI
20,Janeiro,Marcos 12:30,"Ame o Senhor; o seu Deus; de todo o seu coração; de toda a sua alma; de todo o seu entendimento e de todas as suas forças.",NVI
21,Janeiro,1 João 4:19,"Nós amamos porque ele nos amou primeiro.",NVI
22,Janeiro,Colossenses 3:23,"Tudo o que fizerem; façam de todo o coração; como para o Senhor; e não para os homens.",NVI
23,Janeiro,1 Pedro 5:7,"Depositem nele toda a sua ansiedade; porque ele tem cuidado de vocês.",NVI
24,Janeiro,Isaías 41:10,"Não tema; porque estou com você; não se apavore; porque sou o seu Deus. Eu o fortalecerei e o ajudarei; eu o sustentarei com minha justa destra.",NVI
25,Janeiro,Salmos 37:4,"Deleite-se no Senhor; e ele atenderá aos desejos do seu coração.",NVI
26,Janeiro,Romanos 12:2,"Não se amoldem ao padrão deste mundo; mas transformem-se pela renovação da sua mente; para que sejam capazes de experimentar e comprovar a boa; agradável e perfeita vontade de Deus.",NVI
27,Janeiro,Mateus 6:33,"Busquem; pois; em primeiro lugar o Reino de Deus e a sua justiça; e todas essas coisas lhes serão acrescentadas.",NVI
28,Janeiro,João 1:1,"No princípio era o Verbo; e o Verbo estava com Deus; e o Verbo era Deus.",NVI
29,Janeiro,Salmos 27:1,"O Senhor é a minha luz e a minha salvação; a quem temerei? O Senhor é o protetor da minha vida; a quem me recearei?",NVI
30,Janeiro,Provérbios 18:10,"O nome do Senhor é torre forte; para ela corre o justo e fica protegido.",NVI
31,Janeiro,Apocalipse 21:5,"Aquele que estava sentado no trono disse: Estou fazendo novas todas as coisas!",NVI
32,Fevereiro,1 Coríntios 13:4-5,"O amor é paciente; o amor é bondoso. Não inveja; não se vangloria; não se orgulha. Não maltrata; não procura o que é seu; não se ira facilmente; não guarda rancor.",NVI
33,Fevereiro,João 15:13,"Ninguém tem amor maior do que este: dar a própria vida pelos amigos.",NVI
34,Fevereiro,1 João 4:8,"Aquele que não ama não conhece a Deus; porque Deus é amor.",NVI
35,Fevereiro,Romanos 5:8,"Mas Deus demonstra o seu amor por nós pelo fato de Cristo ter morrido em nosso favor quando ainda éramos pecadores.",NVI
36,Fevereiro,Efésios 3:17-18,"Para que Cristo habite em seus corações pela fé; e vocês; tendo raízes e fundamentos no amor; possam compreender a largura; o comprimento; a altura e a profundidade do amor de Cristo.",NVI
37,Fevereiro,1 João 4:16,"E nós conhecemos e cremos no amor que Deus tem por nós. Deus é amor; e quem permanece no amor permanece em Deus; e Deus nele.",NVI
38,Fevereiro,João 3:17,"Porque Deus enviou o seu Filho ao mundo; não para condenar o mundo; mas para salvá-lo por meio dele.",NVI
39,Fevereiro,Romanos 8:38-39,"Pois estou convicto de que nem morte nem vida; nem anjos nem demônios; nem o presente nem o futuro; nem quaisquer poderes; nem altura nem profundidade; nem qualquer outra coisa na criação será capaz de nos separar do amor de Deus.",NVI
40,Fevereiro,1 Coríntios 13:13,"Agora; pois; permanecem a fé; a esperança e o amor; estes três; mas o maior destes é o amor.",NVI
41,Fevereiro,Efésios 4:32,"Sejam bondosos e compassivos uns para com os outros; perdoando-se mutuamente; assim como Deus os perdoou em Cristo.",NVI
42,Fevereiro,Colossenses 3:14,"E; sobre todas essas coisas; revistam-se do amor; que é o elo perfeito.",NVI
43,Fevereiro,1 Pedro 4:8,"Acima de tudo; tenham amor profundo uns pelos outros; porque o amor cobre uma infinidade de pecados.",NVI
44,Fevereiro,João 13:34,"Um novo mandamento lhes dou: que vocês se amem uns aos outros. Como eu os amei; vocês também devem amar-se uns aos outros.",NVI
45,Fevereiro,Gálatas 5:13,"Vocês; irmãos; foram chamados à liberdade. Não usem; porém; essa liberdade para dar ocasião à carne; ao contrário; sirvam-se uns aos outros pelo amor.",NVI
46,Fevereiro,Provérbios 10:12,"O ódio gera brigas; mas o amor perdoa todas as ofensas.",NVI
47,Fevereiro,1 João 3:18,"Meus filhinhos; não amemos com palavras ou de boca; mas com atos e em verdade.",NVI
48,Fevereiro,Romanos 13:10,"O amor não prejudica o próximo. Portanto; o amor é o cumprimento da lei.",NVI
49,Fevereiro,Lucas 6:27,"A vocês que me ouvem; eu digo: Amem os seus inimigos; façam bem aos que os odeiam.",NVI
50,Fevereiro,Miquéias 6:8,"Ele já te declarou; ó homem; o que é bom. O que o Senhor exige de ti: que pratiques a justiça; ames a misericórdia e andes humildemente com o teu Deus.",NVI
51,Fevereiro,Salmos 136:1,"Rendei graças ao Senhor; porque ele é bom; porque o seu amor dura para sempre.",NVI
52,Fevereiro,Lamentações 3:22-23,"As misericórdias do Senhor não têm fim; as suas bondades não se esgotam. Renovam-se cada manhã; grande é a sua fidelidade!",NVI
53,Fevereiro,João 15:9,"Como o Pai me amou; também eu os amei; permaneçam no meu amor.",NVI
54,Fevereiro,Efésios 5:2,"Vivam na senda do amor; assim como Cristo nos amou e se entregou por nós como oferta e sacrifício de aroma agradável a Deus.",NVI
55,Fevereiro,1 Coríntios 16:14,"Façam tudo com amor.",NVI
56,Fevereiro,1 João 4:11,"Amados; já que Deus assim nos amou; também nós devemos amar uns aos outros.",NVI
57,Fevereiro,Romanos 12:9,"O amor seja sem hipocrisia. Abominem o mal; apeguem-se ao bem.",NVI
58,Fevereiro,Zacarias 7:9,"Assim diz o Senhor: Administrem a justiça verdadeira; mostrem misericórdia e compaixão uns aos outros.",NVI
59,Fevereiro,João 15:12,"O meu mandamento é este: que se amem uns aos outros; assim como eu os amei.",NVI
60,Março,Hebreus 11:6,"Sem fé é impossível agradar a Deus; pois quem dele se aproxima precisa crer que ele existe e que recompensa aqueles que o buscam.",NVI
61,Março,Marcos 11:24,"Portanto; eu lhes digo: tudo o que vocês pedirem em oração; creiam que já o receberam; e assim lhes acontecerá.",NVI
62,Março,Mateus 17:20,"Porque vocês têm fé tão pequena. Eu lhes digo a verdade: se vocês tiverem fé do tamanho de um grão de mostarda; poderão dizer a este monte: ""Mova-se daqui para ali""; e ele se moverá.",NVI
63,Março,Romanos 10:17,"Consequentemente; a fé vem pelo ouvir a mensagem; e a mensagem é ouvida mediante a palavra de Cristo.",NVI
64,Março,Hebreus 12:2,"Fixando os olhos em Jesus; o autor e consumador da nossa fé. Por causa da alegria que lhe foi proposta; ele suportou a cruz; desprezando a vergonha; e está assentado à direita do trono de Deus.",NVI
65,Março,2 Coríntios 5:7,"Pois andamos por fé; e não pelo que vemos.",NVI
66,Março,Salmos 91:1-2,"Quem habita no abrigo do Altíssimo; à sombra do Onipotente descansa. Digo ao Senhor: ""Tu és o meu refúgio e a minha fortaleza; o meu Deus; em quem confio.""",NVI
67,Março,Tiago 1:3,"Sabendo que a provação da sua fé produz perseverança.",NVI
68,Março,1 Pedro 1:7,"Para que a fé de vocês; sendo muito mais preciosa do que o ouro que perece; embora provada pelo fogo; resulte em louvor; glória e honra; quando Jesus Cristo for revelado.",NVI
69,Março,João 14:1,"Não se perturbe o coração de vocês. Credes em Deus; crede também em mim.",NVI
70,Março,Romanos 1:17,"Porque nele a justiça de Deus é revelada de fé em fé; como está escrito: ""O justo viverá por fé.""",NVI
71,Março,Habacuque 2:4,"O justo viverá por sua fidelidade.",NVI
72,Março,Isaías 43:19,"Vejam; estou fazendo uma coisa nova! Está despontando; acaso não a percebem? Estou abrindo um caminho no deserto e rios nas regiões áridas.",NVI
73,Março,Ezequiel 36:26,"Darei a vocês um coração novo e porei um espírito novo dentro de vocês; tirarei o coração de pedra de dentro de vocês e lhes darei um coração de carne.",NVI
74,Março,2 Coríntios 4:16,"Por isso não desanimamos. Embora exteriormente estejamos nos desgastando; interiormente estamos sendo renovados dia após dia.",NVI
75,Março,Salmos 51:10,"Cria em mim; ó Deus; um coração puro e renova um espírito inabalável dentro de mim.",NVI
76,Março,Isaías 43:2,"Quando você atravessar as águas; estarei com você; e quando atravessar os rios; eles não vão arrastá-lo. Quando você caminhar pelo fogo; não será queimado.",NVI
77,Março,Romanos 12:1,"Portanto; irmãos; rogo-lhes pelas misericórdias de Deus que se ofereçam em sacrifício vivo; santo e agradável a Deus — este é o culto racional de vocês.",NVI
78,Março,Colossenses 3:10,"E se revestiram do novo homem; que se renova em conhecimento à imagem do seu Criador.",NVI
79,Março,Efésios 4:23-24,"Para que sejam renovados no espírito de sua mente e se revistam do novo homem; criado para ser semelhante a Deus em justiça e em santidade da verdade.",NVI
80,Março,Tiago 4:8,"Aproximem-se de Deus; e ele se aproximará de vocês. Pecadores; limpem as mãos; indecisos; purifiquem o coração.",NVI
81,Março,1 João 1:9,"Se confessarmos os nossos pecados; ele é fiel e justo para perdoar os nossos pecados e nos purificar de toda injustiça.",NVI
82,Março,Hebreus 10:23,"Mantenhamos firme a confissão da nossa esperança; sem vacilar; pois fiel é aquele que prometeu.",NVI
83,Março,Salmos 40:3,"Pôs em minha boca um cântico novo; um hino de louvor ao nosso Deus. Muitos verão isso e temerão; e colocarão a sua confiança no Senhor.",NVI
84,Março,Joel 2:25,"Compensarei os anos que foram devorados pelo gafanhoto; pela lagarta; pelo pulgão e pela larva de gafanhoto; meu grande exército que enviei contra vocês.",NVI
85,Março,João 11:25,"Disse-lhe Jesus: Eu sou a ressurreição e a vida. Aquele que crê em mim viverá; mesmo que morra.",NVI
86,Março,Romanos 6:4,"Fomos sepultados com ele; por meio do batismo; em sua morte; para que; assim como Cristo ressuscitou dos mortos mediante a glória do Pai; também nós vivamos uma vida nova.",NVI
87,Março,2 Coríntios 3:18,"Todos nós; com o rosto descoberto contemplando como num espelho a glória do Senhor; somos transformados à sua semelhança; com glória cada vez maior.",NVI
88,Março,Salmos 103:12,"Assim como o oriente está distante do ocidente; assim ele afastou de nós as nossas transgressões.",NVI
89,Março,Miquéias 7:7,"Quanto a mim; eu vigio em esperança do Senhor; eu aguardo o Deus da minha salvação; o meu Deus me ouvirá.",NVI
90,Abril,Isaías 40:29,"Ele dá força ao cansado e vigor ao que não tem fôlego.",NVI
